,points,nu_error,c_error,s_error,type
0,10,-0.039585634952358006,0.828087003386861,-0.7700338963573014,random
1,20,-0.038371438919541534,0.8268889113375109,-0.7743208693269023,random
2,30,-0.03866385187986121,0.8257444221973571,-0.775210422524156,random
3,40,-0.03797958697920245,0.8256909708846433,-0.7745404526894654,random
4,50,-0.036832024691727416,0.8255936069985258,-0.7755139245708169,random
5,60,-0.037153641493163025,0.8257303786485732,-0.7740046569521835,random
6,70,-0.0370581998124091,0.8256241548551541,-0.7742272121648333,random
7,80,-0.03567627963137887,0.8255424151856775,-0.7761700411883069,random
8,90,-0.03459498714951692,0.8255164569496317,-0.7770685105611232,random
9,100,-0.03373502885310775,0.8254923628787475,-0.7785522095768278,random
10,10,-0.0688486851609037,0.8028265473634566,-0.7647343284802096,random
11,20,-0.04637074045480061,0.8257993825972522,-0.7668128126640676,random
12,30,-0.04152937694403158,0.825263892232336,-0.7720711926150852,random
13,40,-0.04259258699978008,0.8257508173582,-0.7676798480253926,random
14,50,-0.040171397732505554,0.82562932440533,-0.7716312146905513,random
15,60,-0.03885415445679108,0.8254577361584079,-0.7734817781691556,random
16,70,-0.03557203845374879,0.8254416764025285,-0.7778179532834146,random
17,80,-0.03508226666224168,0.8253016551341367,-0.7787067417680484,random
18,90,-0.035406244522292574,0.8252934803136603,-0.7778903631854229,random
19,100,-0.035059784733699084,0.8252626029686274,-0.778154937183831,random
20,10,-0.018347595976127562,0.853870240329236,-0.7655093614677664,random
21,20,-0.03800156424632539,0.8276562341885246,-0.7727573267404406,random
22,30,-0.03741131509567752,0.8254481013093301,-0.7755528101216994,random
23,40,-0.03799770074531683,0.8242063880764264,-0.7760687338791457,random
24,50,-0.035901227088717014,0.8245775410846026,-0.7779678939519642,random
25,60,-0.0352980175781995,0.8248939980467359,-0.7768999380760498,random
26,70,-0.03484098627229126,0.8251075954059757,-0.7771714607352499,random
27,80,-0.03437964601222521,0.8252732473290838,-0.7779195607191195,random
28,90,-0.03430467232304124,0.8251854941683159,-0.7776037757325129,random
29,100,-0.03442165861135227,0.8251256685766422,-0.7772666702770784,random
30,10,-0.06809175907984433,0.8040936302264997,-0.76374659937436,random
31,20,-0.03779758535068911,0.827957964736217,-0.7734225777418007,random
32,30,-0.038700421512063876,0.8257387359797379,-0.7736303318335608,random
33,40,-0.0381925988436721,0.8256145838087151,-0.774319033526109,random
34,50,-0.03470851637409733,0.8252958279145828,-0.7792445090573203,random
35,60,-0.0337030867770477,0.825160526776191,-0.7800494819949092,random
36,70,-0.03289392309951533,0.8250643321782682,-0.780079950220466,random
37,80,-0.03237256810743505,0.8252106618251731,-0.780418306689582,random
38,90,-0.03207655192984893,0.8251965336612589,-0.7810696088829576,random
39,100,-0.031694861143418795,0.8251609880458322,-0.7819751431747229,random
40,10,-0.07531927083738266,0.7973163865891645,-0.7615405240739533,random
41,20,-0.04723103006753082,0.8189127838134852,-0.7685597906981718,random
42,30,-0.04433218085080526,0.8206743030792607,-0.7703111908606182,random
43,40,-0.03946378113384019,0.8250741050574261,-0.7717543711769801,random
44,50,-0.03778065939406727,0.8257455391439682,-0.7727281977008044,random
45,60,-0.03672278324953504,0.8255870219762995,-0.774572507257908,random
46,70,-0.03593364197291471,0.8253691456250238,-0.7754146426779315,random
47,80,-0.0355703524060752,0.8253503446308753,-0.7762288791066196,random
48,90,-0.035091138573491,0.8254544073329915,-0.7768540569582515,random
49,100,-0.03396794401795633,0.8255972697959794,-0.777974819498609,random
50,10,-0.012637811490219808,0.8590778613662098,-0.7651955896299103,random
51,20,-0.04039421690969247,0.8261079171143421,-0.7694043706962075,random
52,30,-0.037704340959090143,0.8247652951296571,-0.7752793546729544,random
53,40,-0.03666796538767869,0.8247391379302916,-0.7767619428752801,random
