,points,nu_error,c_error,s_error,type
31,60,-0.009491876075447325,0.633982547796389,-0.6117454485906261,random
32,65,-0.0019375096600355857,0.6342846737877605,-0.619482811143388,random
33,70,-0.004642993591962852,0.6342627880100256,-0.6160429364842441,random
34,75,-0.007384535184422392,0.6336545295697813,-0.6129033825044057,random
35,80,-0.00856986270601634,0.63361278838034,-0.611207152686146,random
36,85,0.0015390160354623594,0.63354550021136,-0.6283117975601262,random
37,90,0.01789566224315786,0.633721841834064,-0.6509451872741504,random
38,95,0.017862210398211342,0.6336772862023184,-0.6509537616403096,random
39,100,0.017817566722583722,0.6336311740554805,-0.6509619211636721,random
40,5,0.10109368620293269,0.7390645006591743,-0.6155786063786624,random
41,10,0.08362727062301833,0.7109776516710249,-0.6294251394662966,random
42,15,0.018668201418590602,0.6579418853118153,-0.6209469283737031,random
43,20,0.008015472718480576,0.6577759723225636,-0.6034198275938026,random
44,25,-0.002183140263061878,0.6450564906004812,-0.6058086808714316,random
45,30,-0.015354466323244997,0.6410147615045451,-0.6007840659879917,random
46,35,-0.01727085638587711,0.6386199207928525,-0.6008672286298138,random
47,40,-0.02108707959268452,0.6350416562304543,-0.6007683160643522,random
48,45,-0.021192871855609918,0.6343313514735153,-0.6000754799282751,random
49,50,-0.004927094185851133,0.6341539958316526,-0.6216236392713436,random
50,55,-0.02046673169214419,0.634158505354472,-0.6002666077440251,random
51,60,-0.020391309017084414,0.6342108370938986,-0.6002882520747072,random
52,65,-0.020465017581265066,0.6350155425155464,-0.5995745498960374,random
53,70,-0.019370670174973625,0.6339054873928957,-0.6025419033952245,random
54,75,-0.02151971073473835,0.6340049624834513,-0.5995368810039241,random
55,80,-0.02044901748489314,0.6337722915502488,-0.601211076683926,random
56,85,-0.003851052982446146,0.6337481107055999,-0.6254594954610616,random
57,90,-0.019321590465379512,0.6330250073842127,-0.6057868238289379,random
58,95,-0.019393446617061882,0.6329585091778781,-0.605790584712888,random
59,100,-0.019355709587878023,0.6329857356989314,-0.6057920700216013,random
60,5,-0.06837521785039213,0.56060024006384,-0.6352275292048134,random
61,10,-0.1359454967656757,0.5021733546716068,-0.6165754018000971,random
62,15,0.05171530082564113,0.6927289593093247,-0.6128834797736828,random
63,20,0.027109304717084837,0.674661929240439,-0.6065183268069687,random
64,25,0.024241732526001147,0.6734774374018822,-0.6061386032468882,random
65,30,0.0015457323935935685,0.6384384717466726,-0.6193134469530592,random
66,35,0.009796733327614104,0.6383308665359023,-0.630634992735712,random
67,40,-0.0014454651929188822,0.6379494529831475,-0.6178414746581271,random
68,45,0.00624813304906946,0.6373746369696475,-0.628269075067227,random
69,50,0.005994064818705458,0.6372516313847388,-0.6281339482408488,random
70,55,-0.01747227645832017,0.6356563503902256,-0.5936096538347985,random
71,60,-0.005205892112363997,0.6356227227059351,-0.6064751325383171,random
72,65,-0.013808728874635134,0.6360368182947898,-0.5968895518483166,random
73,70,-0.004811664490796397,0.6342746106582874,-0.6090963995695764,random
74,75,-0.0050308841869187715,0.6338503203955157,-0.6093823415619095,random
75,80,-0.005064464640425093,0.6338330447396532,-0.6093381237611074,random
76,85,-0.01626906568845299,0.6337494729172436,-0.5965750633337465,random
77,90,-0.01852993228618205,0.6342956193404011,-0.5924684391565331,random
78,95,-0.017370514459583153,0.6341290416123678,-0.5937873882621021,random
79,100,-0.0059592952856513115,0.6340862734440145,-0.6080438544073224,random
80,5,0.06915512662582435,0.699258694236051,-0.6241806475176643,random
81,10,0.018138698820739485,0.6587153753929446,-0.6170401562802247,random
82,15,-0.005127005715890864,0.6400861978527411,-0.6215323833962948,random
83,20,-0.0036366709023122334,0.6458474620335347,-0.621970019340892,random
84,25,-0.0071052220634293395,0.6349369732148193,-0.6139301559716032,random
85,30,-0.0181194909978728,0.6338350921570923,-0.5995446804859078,random
86,35,-0.01752591409036175,0.6321704924891118,-0.599659579190936,random
87,40,-0.013536226904953153,0.6330211374417968,-0.6053976819013311,random
88,45,-0.013883760994158112,0.6335629864283479,-0.6051377908748998,random
89,50,-0.018502395290143747,0.6329840993435342,-0.5965446646925148,random
90,55,-0.018611345260987844,0.6328132492865892,-0.5968694357834425,random
91,60,-0.018641479762330104,0.6328327021085233,-0.5967489613199994,random
92,65,-0.018174725692720495,0.6328735076481445,-0.5979979499315182,random
93,70,-0.002526653111295407,0.6325859784428963,-0.6204899375690118,random
94,75,-0.018359076760605886,0.6324920831066893,-0.5989990881837395,random
95,80,-0.010193785394519317,0.6324601739533,-0.612068787617492,random
96,85,-0.007992266006315085,0.6324755977757371,-0.6133758692393272,random
97,90,-0.008388096380981924,0.6325758919588351,-0.6121832982670374,random
98,95,-0.008620381126265064,0.6327654443799996,-0.6113540567337581,random
99,100,-0.009465767310409157,0.6327289148470643,-0.6099449649386576,random
100,5,0.11758480491359524,0.728787910754001,-0.6486540724672025,random
101,10,0.008820891240631679,0.6339750006201152,-0.63772584484309,random
102,15,0.010047450106527966,0.6423111101608452,-0.6240408015729244,random
103,20,-0.008797926219932473,0.6371291830363681,-0.6049422801257709,random
104,25,-0.009842442441515775,0.6358952632076494,-0.6052654603299952,random
105,30,-0.010065562114238147,0.6356795595603696,-0.60487193236694,random
106,35,-0.00918807491105944,0.6354534417995089,-0.6077574625663898,random
107,40,-0.007917058556434542,0.6364677704002666,-0.608113286809102,random
108,45,-0.011130066440381281,0.6331916845133301,-0.6080919396559376,random
109,50,-0.014115575819129034,0.6333340247994006,-0.6034825808806134,random
