,points,nu_error,c_error,s_error,type
0,5,0.024989421429333164,0.20615777398210897,-0.1948015934407159,random
1,10,0.020662221196660724,0.21173670338783965,-0.21677061023842792,random
2,15,-0.004235846042557306,0.21077187532159822,-0.20851227510803833,random
3,20,-0.005537720070723395,0.21147611478945452,-0.20710503995256402,random
4,25,0.018051007108463357,0.2162716133572097,-0.22971688400869858,random
5,30,0.004820769911464545,0.21563996321390203,-0.2033140676274445,random
6,35,0.00037305073676152656,0.21291615712904358,-0.21020745387094794,random
7,40,-0.005186488152654961,0.21397686241440114,-0.20160185488739157,random
8,45,-0.004858708237419435,0.21370288334807738,-0.20305450977326192,random
9,50,-0.004846759690802893,0.21335340831255875,-0.2028406231605606,random
10,55,0.010168318211146055,0.21269281690335615,-0.17588752671531077,random
11,60,0.010216202356742282,0.21270702138385697,-0.1757814154184862,random
12,65,0.00015237297332443278,0.21274404714994719,-0.2146567341965829,random
13,70,0.00019763229498204193,0.21277894414972706,-0.2146642583885009,random
14,75,-0.000653391465225972,0.21278046338413006,-0.20880784812268588,random
15,80,-0.0005862588672543023,0.21284313227842375,-0.2088114139367696,random
16,85,-0.0006244635701091183,0.21275582143691454,-0.20871838992405833,random
17,90,-0.0013596758724344904,0.2127553662930954,-0.19214362538684887,random
18,95,-0.0010891489067569593,0.2126900049055909,-0.21328920501667847,random
19,100,-0.0038097380349436105,0.21268730363192553,-0.20245936263957073,random
20,5,0.03133895509682638,0.23063227466108918,-0.21602580095576568,random
21,10,0.01577612852102875,0.21800328707655117,-0.2171477330189231,random
22,15,0.011158661174451218,0.21513815488804458,-0.21175113211349758,random
23,20,-0.00462837318115944,0.21301075489987778,-0.20825663884876958,random
24,25,-0.005888859327047802,0.21314504041277274,-0.20154492837096746,random
25,30,0.0030322550546512395,0.2136628175834722,-0.18284277775316204,random
26,35,-0.005399889448796519,0.21348650945879707,-0.2021536359882648,random
27,40,0.003757306736429933,0.21272455698423628,-0.18101262598454035,random
28,45,-0.008287645230727309,0.21273633492273855,-0.20261161079696438,random
29,50,0.0027882890357068535,0.212721037419674,-0.17870175380162465,random
30,55,0.0027182645779874337,0.2126501455732007,-0.17869658891070458,random
31,60,-0.002897906079729895,0.21261611401360278,-0.2065169049387921,random
32,65,0.007434711541191935,0.21265630508931918,-0.17739362380519327,random
33,70,0.007795984260270783,0.2126497612467335,-0.17731990289296198,random
34,75,0.010579511976797268,0.21256792166844998,-0.17875532430667407,random
35,80,0.006147564608496525,0.2125714665414258,-0.18400893274790947,random
36,85,0.013091895163586914,0.21262353451387814,-0.17590579207968568,random
37,90,0.001547453795220921,0.21256676425455226,-0.21817738446272647,random
38,95,-0.004577834606010134,0.21256176315856426,-0.20590235145620367,random
39,100,-0.0030464411790805668,0.21255861097734788,-0.21082477420364013,random
40,5,0.03731781617356972,0.2105385530403657,-0.22526594115969645,random
41,10,-0.01786070406430454,0.20454999450149572,-0.18511297414840663,random
42,15,-0.011291123083551846,0.21154274957522376,-0.18439338074047565,random
43,20,-0.009403866953941825,0.21328829401920366,-0.18520348160939684,random
44,25,-0.01565450845361946,0.21305082662813576,-0.19241750191775792,random
45,30,-0.012448540744803782,0.21429405320419634,-0.1931851689012938,random
46,35,-0.012748790901992213,0.21354434663149038,-0.19277358423976046,random
47,40,-0.007884084252429785,0.21329661353790783,-0.16808933008048096,random
48,45,-0.004323621423548224,0.21333994971167167,-0.2094042605317256,random
49,50,-0.003321931446962023,0.21337946982739334,-0.21049257597519594,random
50,55,-0.004111049740950362,0.2128785345458485,-0.17853496766061652,random
51,60,-0.000223865121806055,0.21287784334180868,-0.2111627176168716,random
52,65,0.0071743319343868794,0.21284538685771057,-0.22246056328803926,random
53,70,0.007069812678005438,0.21266648216939135,-0.2226397019852443,random
54,75,0.007021973393354586,0.21262247502827678,-0.22263569971610464,random
55,80,0.00708451648191194,0.21268287487057183,-0.22263513989676825,random
56,85,0.003265860626583267,0.21266991129727966,-0.19751604925885546,random
57,90,0.007841742701040183,0.21262683403836383,-0.22368986659361367,random
58,95,0.007897012875523746,0.21268123918156936,-0.22369053698037433,random
59,100,0.007863287564492893,0.21263547866150048,-0.22370622625565864,random
60,5,0.08149528970679709,0.2127554415282976,-0.2787377303392259,random
61,10,0.013729359414536263,0.20805316216030487,-0.22826598186360092,random
62,15,0.026712554729120902,0.2114700307043643,-0.2412528552975697,random
63,20,0.03657101739052643,0.21376350043245665,-0.1509768754576193,random
64,25,0.036495313746930935,0.21300139194361964,-0.14997477688988578,random
65,30,0.015505280903668484,0.2130714473300365,-0.2272198763716045,random
66,35,0.00578054529802266,0.2129411233616675,-0.221168217183746,random
67,40,0.004366755878358802,0.21262954489806032,-0.21897819912012345,random
68,45,0.005488635858409807,0.21261631286045649,-0.21540138978912451,random
69,50,0.003668207724680822,0.21256266291857848,-0.21908135374421814,random
70,55,0.002583598380123203,0.21255809736577722,-0.2169325060030074,random
71,60,0.0036461822819669476,0.21256041169351084,-0.21966993372728774,random
72,65,0.0037245798067387093,0.21263404532966704,-0.21968557435473168,random
73,70,0.0036967103235318044,0.21260730999059427,-0.2196834384967626,random
74,75,0.0026254131521927793,0.2126024648614316,-0.2169427532824553,random
75,80,0.003738243812774378,0.21262657702027452,-0.21970688222913298,random
76,85,0.007402867373135363,0.21246367469838104,-0.21483815439068737,random
77,90,0.0025096448696450002,0.2124463131474121,-0.21699715371981013,random
78,95,0.003720972522875482,0.21241899338709128,-0.2200451901853652,random
79,100,0.0021891716229577862,0.2123618288213264,-0.21864547915056845,random
80,5,0.037867933252876185,0.22178937128714812,-0.21842714871797056,random
81,10,0.019861169953495295,0.21267849841273015,-0.2197257134782069,random
82,15,0.0059204481490072736,0.21029680802065856,-0.19297097771530047,random
83,20,0.007388907845827852,0.2116077777932818,-0.19103045948441086,random
84,25,0.016957796077683274,0.21317680630829763,-0.22313354830208723,random
85,30,0.018384603390016768,0.21305377950890766,-0.22357374592698057,random
86,35,0.0168485826284778,0.2130297832335966,-0.22316653783124743,random
87,40,0.01701069574094491,0.21316853090500024,-0.22321400927760168,random
88,45,0.016496227219297083,0.2128685945407309,-0.223478614882793,random
89,50,0.01656409847123455,0.21293308440190353,-0.22347716077884214,random
90,55,0.016747904329244195,0.21295058062368302,-0.22301551357959665,random
91,60,0.019726610151001744,0.21314143989087816,-0.2254629417880627,random
92,65,0.01967291182949693,0.21311725384200672,-0.22561636476808986,random
93,70,0.019405000231020098,0.21304669291923153,-0.2246756851785804,random
94,75,0.014399134714916995,0.2131156501810139,-0.2289894051785703,random
95,80,0.016489917722575603,0.21284552507858104,-0.23284585237617583,random
96,85,0.016799081537802074,0.21285504203237246,-0.23314583489076723,random
97,90,0.012339249163882265,0.21285913573971568,-0.22768078569167796,random
98,95,0.012244523283953784,0.21276589305522628,-0.22767879451292114,random
99,100,0.010608242166769977,0.21265447195621126,-0.22648878063651479,random
100,5,-0.014916107141693752,0.20081161872884093,-0.13528706512464062,random
101,10,-0.008166477252657345,0.20207313471958174,-0.19830857632001694,random
102,15,0.00897801011767993,0.21452633791770367,-0.2172960001452302,random
103,20,0.028840424586648067,0.21370076079058972,-0.18431019466173856,random
104,25,-2.4547308911326837e-05,0.21320285598044134,-0.21316101430374665,random
105,30,0.0006431660395311567,0.213947759607217,-0.21309982292650187,random
106,35,0.00836907704128545,0.21329460149688542,-0.21893526274909172,random
107,40,0.004664729522223576,0.21354676394567776,-0.21747309184902103,random
108,45,-0.008547167231304914,0.21333663457344207,-0.19258316716931204,random
109,50,-0.008668786723096844,0.21327090137386914,-0.1914232522453089,random
110,55,-0.008633448107224773,0.21329722599298276,-0.19141588655389888,random
111,60,0.0019612276045702925,0.213343181631216,-0.18410558454489215,random
112,65,0.0019638244193209697,0.21338541726779062,-0.1839152679473985,random
113,70,0.0015874368641457248,0.21338628019393732,-0.1917730453473363,random
114,75,-0.0019027301271517805,0.2131651306878928,-0.19393544310834637,random
115,80,-0.004125630755397208,0.21301479235708062,-0.21101963429185724,random
116,85,-0.001571003464393289,0.213015690223161,-0.21426702485100838,random
117,90,-0.005704013747061754,0.2130073118403172,-0.19574639694073903,random
118,95,-0.005749817670384294,0.21300102414711844,-0.20805750963688324,random
119,100,-0.007253957326966015,0.21301175676109416,-0.20424252372346072,random
120,5,-0.00583675925090632,0.17867872838386337,-0.17786541218092117,random
121,10,0.01604248098937283,0.21925526078040095,-0.20715985788502692,random
122,15,0.004803553963831891,0.21558531361427882,-0.21559811420457675,random
123,20,0.0036448674345089804,0.2144108676772308,-0.21614364680255288,random
124,25,0.007557341255012451,0.2135643544180756,-0.22113250044067445,random
125,30,0.036984756543719244,0.213816503820164,-0.1457106923670104,random
126,35,0.015207963355267945,0.21306258696269922,-0.220464971385615,random
127,40,0.015317738868095065,0.21303146727717873,-0.21744636891833233,random
128,45,0.014383781481171531,0.21255321879969133,-0.22030341218045868,random
129,50,0.010343216173044234,0.2126026989477914,-0.198048764723689,random
130,55,0.011219439008584187,0.21260145451734322,-0.22012001073475457,random
131,60,0.00952068854459412,0.2125575955850406,-0.18797144170386765,random
132,65,0.012072032514184594,0.21260124972514957,-0.21699478066813416,random
133,70,0.012094896287577012,0.21262272150711495,-0.2169991668291378,random
134,75,0.007349942157878708,0.2125636662598495,-0.19416845172496724,random
135,80,0.013532586290725651,0.21254066483423864,-0.1847371873159137,random
136,85,0.01206690256776946,0.21259140002954133,-0.21700707843605377,random
137,90,0.020601205848394144,0.2125683381621196,-0.1718022725891979,random
138,95,0.006613740082924563,0.21256271391548606,-0.21922551888324493,random
139,100,0.012918430306987055,0.21255180014537392,-0.2146912710379339,random
140,5,0.0063157052077243425,0.1996308300759024,-0.20747101006041335,random
141,10,0.04259496954361769,0.2124408411291757,-0.2415175725147193,random
142,15,0.03439590099950657,0.2133676495573603,-0.23476952037540677,random
143,20,0.037172386024786674,0.21214952021660086,-0.2283528249057848,random
144,25,0.04861862019016755,0.21220414409573377,-0.2486059527192063,random
145,30,0.031117409528584494,0.21273114629931658,-0.23824664232840873,random
146,35,0.03972657424191384,0.21270819458551068,-0.14516016716187946,random
147,40,0.019017513711294898,0.21262406727461128,-0.21821330580176548,random
148,45,0.018563256045390608,0.21240917870180634,-0.21822949780138212,random
149,50,0.013336005581426252,0.21229118678998596,-0.20016617824776542,random
150,55,0.013285292275430571,0.2122076605797976,-0.21746838908674498,random
151,60,0.013064582836091493,0.21221354783782345,-0.22613165334821525,random
152,65,0.009024538455245007,0.21225347507174322,-0.22269737839173057,random
153,70,0.009051701067936485,0.2123014104938127,-0.22265066704698228,random
154,75,0.009469335548270091,0.21223196287844207,-0.22284259171513054,random
155,80,0.009613242596581445,0.21237491930019295,-0.22284140211601444,random
156,85,0.009684344321717248,0.212383789471866,-0.22306288351318468,random
157,90,0.0099569102638212,0.2123927337439879,-0.22349623152366785,random
158,95,0.0006141709250685468,0.2124515724821128,-0.2158645647226313,random
159,100,0.0006009551601933727,0.21243416761168218,-0.21587710678879102,random
160,5,0.0324590556988322,0.203727075442344,-0.2159087013546442,random
161,10,0.013099621418331708,0.21087372016253494,-0.21329085803930015,random
162,15,0.022391252123556082,0.21215304787378433,-0.18161871020495127,random
163,20,0.020315174420916626,0.21230397953143412,-0.18550441456007366,random
164,25,0.00845893281708604,0.21210666853363833,-0.21672993352082498,random
165,30,0.008228150564492859,0.21209072876802534,-0.21493816728487247,random
166,35,0.01092333706800036,0.2123077430013788,-0.19922253009637628,random
167,40,0.014844627787735681,0.21261776116771866,-0.22825113111383766,random
168,45,0.014468802798445896,0.21258679761059382,-0.22783711895779082,random
169,50,0.014501508237487637,0.21267008590807782,-0.22776134517907992,random
170,55,0.014472371834335751,0.21264211873749853,-0.22775574156487483,random
171,60,0.015598736009974301,0.21260253762365425,-0.19786615479906214,random
172,65,0.00555522249301571,0.2126191383694834,-0.22071553709123024,random
173,70,0.006673390648416183,0.2126380665425159,-0.2226868989818002,random
174,75,0.02060544768725389,0.21264951050895944,-0.20860895538154392,random
175,80,0.016012075648113078,0.2126552370672318,-0.18885280449959538,random
176,85,0.015932139145676788,0.21268458338660304,-0.18910963088175894,random
177,90,0.01376067704097128,0.21255711368407146,-0.18879218335985842,random
178,95,0.005753631420908456,0.21255701142185043,-0.22186787354408213,random
179,100,0.008549138677446277,0.21255051955917323,-0.22412001200699047,random
180,5,-0.04355721275495639,0.17531068502571664,-0.1552039194389053,random
181,10,-0.03286146856377353,0.20167213603760034,-0.17070006908705537,random
182,15,-0.02233956381926211,0.21286537752033538,-0.1672146411155496,random
183,20,0.016511382649839645,0.2122177092211893,-0.15962928667665105,random
184,25,0.015780508769341228,0.2112306083686379,-0.15928667383976564,random
185,30,-0.004109811769845179,0.21264782060722917,-0.2007742095053558,random
186,35,0.01972161794234817,0.21298128807626296,-0.15740936365446087,random
187,40,0.01933739148964092,0.21252757440488787,-0.1574193790977997,random
188,45,0.0068524252254557605,0.21253570362254612,-0.2196179909026101,random
189,50,0.004494908491338073,0.2125108425496187,-0.2185655274234412,random
190,55,0.00703136828652251,0.21262870651231444,-0.2209123971500573,random
191,60,0.007472077882953149,0.21270805528056533,-0.2212665239544034,random
192,65,0.014932021338145168,0.21263869911903446,-0.2296498990226901,random
193,70,0.01329842998918776,0.2126930545618881,-0.2099635479991775,random
194,75,0.010090208194967087,0.21269398068551967,-0.21892742935807818,random
195,80,0.010202421044553434,0.21262532886271382,-0.21974288823137444,random
196,85,0.011650584429665017,0.2126703144449695,-0.21236464201357197,random
197,90,0.014075112454357247,0.2127041617896134,-0.21472492927976505,random
198,95,0.010501706281222184,0.21270736067896132,-0.20107772714533012,random
199,100,0.019047827636891085,0.21270629764875013,-0.18091449118924666,random
200,5,0.028952273170837817,0.21228766718939138,-0.2142470766552848,info
201,10,-0.006239886574292947,0.21407774248276343,-0.17361335450408022,info
202,15,0.0032850034513689508,0.21049939999859177,-0.17714048214095154,info
203,20,0.019335142218912194,0.21376427181592847,-0.17253479701904278,info
204,25,0.033290731667977164,0.21283160410543503,-0.17909141916950708,info
205,30,0.01007384629192784,0.21284694589193828,-0.20232656661192322,info
206,35,0.011913242720044487,0.2128308688155359,-0.19412711529015805,info
207,40,0.011903334211103955,0.2127930792517305,-0.1941395533397352,info
208,45,0.010121831063691744,0.2127118341021271,-0.18771163813989142,info
209,50,0.010994096688715316,0.21268552707177488,-0.18729122832585035,info
210,55,0.010984194260616559,0.21268690680875982,-0.18728905440944982,info
211,60,0.005493450431290153,0.21270156453126735,-0.22011336997836897,info
212,65,0.006217492262789254,0.21267581743140987,-0.22253276964404997,info
213,70,0.0024180282448655888,0.21268332990268626,-0.2114454791204111,info
214,75,0.006191237497449681,0.2126489763575727,-0.22253307988542095,info
215,80,0.006191627691754825,0.2126570709303426,-0.22252500315698798,info
216,85,0.0035760345572622143,0.2126515021440318,-0.2174932895768456,info
217,90,0.0035637372586742877,0.21264665346748665,-0.21747308505267468,info
218,95,0.003086318175216013,0.21264512308571673,-0.20869645842758863,info
219,100,0.003561198056941328,0.21264503920614905,-0.21747683384064143,info
220,5,0.06564117641280787,0.2624835713066346,-0.18803514676932373,info
221,10,0.013178906993119022,0.21041854322300366,-0.19619219722731587,info
222,15,0.02322332379021791,0.21569124978626134,-0.21236454155299392,info
223,20,0.03729475204146854,0.216329871357164,-0.23269753802616175,info
224,25,-0.006926852723845883,0.2132406347386003,-0.20655737115504844,info
225,30,0.0005295171753396111,0.21316697429339435,-0.21246352986488629,info
226,35,0.007059771612504567,0.21296175331835795,-0.22189135382169056,info
227,40,0.006896687179712452,0.21283200757869,-0.2218512060103509,info
228,45,0.005191005661601328,0.21276289563724496,-0.1963379929952164,info
229,50,0.006672516267250378,0.21290180707494397,-0.2215869787111159,info
230,55,0.004026580751492398,0.21259443334789704,-0.21901912792493722,info
231,60,0.0028084885287617822,0.2125477752374542,-0.21820727209277424,info
232,65,-0.00040577778092670824,0.21252010988375994,-0.20284477108766316,info
233,70,0.010844734159054958,0.21243412500048006,-0.22490440625601246,info
234,75,0.011035285269007378,0.21261636095654282,-0.2249046284971969,info
235,80,0.010850945171225923,0.2126042614001957,-0.22490179104151084,info
236,85,0.007868435185051398,0.21261931527313346,-0.22286848027076434,info
237,90,0.0033377474263267815,0.21264328040190536,-0.19940869581293616,info
238,95,0.007827039782525358,0.21255642169408048,-0.22295024841919026,info
239,100,0.0031868172117450744,0.21253871533176252,-0.19867331429661753,info
240,5,0.049883930951850286,0.21171736553999462,-0.23303370712726587,info
241,10,0.03158518670142585,0.2109198247725471,-0.23583449416611613,info
242,15,0.016781464182451244,0.2130641649344572,-0.19419588283234487,info
243,20,0.005238080578950116,0.21287554424171504,-0.21879449310668697,info
244,25,0.0034420980203357376,0.21226759196979603,-0.21816736506838794,info
245,30,0.004540899122710884,0.2134889749818306,-0.21797804573491825,info
246,35,-0.00043387376696446545,0.21337092726705362,-0.21130787293028538,info
247,40,-0.006341689835359932,0.21311674562837826,-0.2052337022241564,info
248,45,-0.0077137656223441875,0.21325219833490208,-0.18318586546684282,info
249,50,-0.0059792422597782224,0.2132916098121114,-0.1853225411545713,info
