,kernel,pid,visit,r2,max_error,MSE,log_marginal_likelihood
49,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),26,1,-0.9427776580095898,-1.7422615457500268,-1.600115666781818,-112.7670351607791
50,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),26,2,-0.04501363345813416,-2.2019861339972664,-1.595663553954651,-260.2328511457746
51,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),26,3,-0.11741029235557239,-1.7363564543593544,-1.5938024686385461,-286.859000558346
52,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),27,1,-0.053192093116940044,-0.45429471016300316,-0.02094874617907468,78.43717737171883
53,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),27,2,0.08553066602289376,-0.3192296520833736,-0.014376869499469067,105.18299396588003
54,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),27,3,0.10105078388020354,-0.25548471365040115,-0.009477425938245642,143.7051612482423
55,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),28,1,-0.4193283577483178,-0.5972079472954662,-0.044084159757008454,27.196216920373303
56,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),28,2,0.16932994068083224,-0.47632952274494117,-0.022529602707032963,65.70960954159924
57,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),28,3,0.22877291049596912,-0.3252604131980911,-0.014465694058794804,101.96816921972857
58,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),29,1,0.3090630612945439,-1.1569653168346954,-0.1807838382467551,-88.19034782775806
59,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),29,2,0.06551920444790052,-2.25279520066289,-0.3623742269374637,-117.63952349096928
60,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),29,3,0.1377797878004416,-0.701445763425799,-0.0894341145684981,-38.76016773035833
61,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),30,1,-0.18263016939267077,-1.831433898332509,-0.3660170353864385,-135.28960936287277
62,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),30,2,-0.39469851709748155,-1.471396610577475,-0.4231508993290605,-140.4715488584747
63,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),30,3,-0.5094885388733095,-1.4122036743210913,-0.26694013462436333,-110.23412352756617
64,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),31,1,0.2439413315490376,-0.22990013043207033,-0.01029234207792542,121.07769348799215
65,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),31,2,0.2920046523404128,-0.27223387792366055,-0.010716026150765418,110.79948565122588
66,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),31,3,-0.20289530658193336,-0.5814064713256399,-0.0276980229722247,56.78749109578922
67,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),32,1,-0.5911440012011262,-1.2708874548720028,-0.15274319276963766,-71.54032046531114
68,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),32,2,-0.11149943628431261,-0.41577524173311975,-0.02738735293611073,73.1551062129248
69,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),33,1,0.05171051722321653,-0.7685052179893963,-0.10091673619085764,-22.175988888682433
70,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),33,2,-0.5064999209391738,-0.5171839408878054,-0.05815719819023957,30.72844560222299
71,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),33,3,0.23332584883863633,-0.40490671400173606,-0.026965448222590414,56.11737678924527
72,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),35,1,0.2551516025465691,-0.5893280432766221,-0.042790472739672805,17.089400867715227
73,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),35,2,-0.252247758501247,-0.49865395615239655,-0.03504892815223902,37.89025208192042
74,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),36,1,-0.03139678783779125,-2.325646856496671,-1.2698364818499701,-197.83856715214748
75,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),36,2,-0.04217802296106643,-2.517824722276415,-1.265796561306389,-219.0801890136002
76,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),36,3,-0.11908139433976421,-1.9864557103676248,-1.4651038646508838,-238.04925027974645
77,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),37,1,-0.2573705617175398,-1.1651164334636905,-0.25910638821725523,-65.92258207296871
78,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),37,2,-8.825333892748361,-2.1289429912841706,-2.309788484034054,-261.0146454383459
79,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),37,3,-0.14646607578755727,-1.6710381116431194,-1.2372899279155458,-245.97786270768586
80,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),21,1,-0.5169110413976616,-1.8396988820283737,-0.3710212542497774,-125.31248864259618
81,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),21,2,-0.3505534641978652,-0.5930123196448955,-0.05857201744066661,3.6428499435725143
82,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),21,3,0.16333710196198276,-0.4495428310062888,-0.039474742929348515,23.53359361443117
83,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),23,1,-0.11589916044929542,-2.8531043376661,-0.7914884132220648,-187.24003681691835
84,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),23,2,-0.023078285695326838,-2.414887674986506,-0.5136982383158357,-161.04501846054578
85,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),23,3,-0.47662329921547963,-2.046516234298619,-1.1268906702182566,-201.90865802015503
86,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),25,1,0.12597826581397467,-3.901492271154942,-2.3948300621244827,-348.4297269605793
87,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),25,2,0.08084623368916428,-2.3310261051442844,-1.0952085719687599,-197.59621392054788
88,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),25,3,0.16336674280107885,-1.6979462255266338,-0.2872664441141988,-84.52145297612734
89,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),26,1,-0.9427840367327132,-1.7422644421035343,-1.600120197183476,-112.76703646921145
90,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),26,2,-0.08726726703295198,-2.2609363988817366,-1.6621304709887579,-260.2328529213245
91,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),26,3,-0.1174075813509556,-1.7363373595208969,-1.5937992365849758,-286.8590073275452
92,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),27,1,0.08495831266224212,-0.42885648919086317,-0.017327831732602283,90.88487856524176
93,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),27,2,0.14689436185743338,-0.309393353988369,-0.013703077239241898,109.32280184042835
94,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),27,3,0.2655386276052404,-0.2419198476078061,-0.007724665404225975,156.2460624857526
95,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),28,1,-0.41932764472463885,-0.5972080223209922,-0.044084140956848705,27.19621675743616
96,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),28,2,0.21379267130664634,-0.4430005707211843,-0.0211430838723592,72.33619705794291
97,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),28,3,0.31180659496826285,-0.28560780387950224,-0.012705546686334218,110.2467886752936
98,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),29,1,0.37206234575585617,-1.1581246737382092,-0.169563395152248,-85.51200352310448
99,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),29,2,0.0182528333866808,-2.3388283326991415,-0.3829947006804874,-117.21512047971041
100,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),29,3,0.3352870996392811,-0.6341121736582467,-0.06992696431955228,-24.842744296322692
101,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),30,1,-0.18263184361360454,-1.8314338380067152,-0.36601793148635126,-135.28961014826842
102,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),30,2,-0.39468972409877123,-1.4713891393139182,-0.4231503373373523,-140.47154939489567
103,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),30,3,-0.5094829065961962,-1.4122162962098392,-0.26693956778331784,-110.23435057877298
104,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),31,1,0.3596760537315752,-0.2271911757426146,-0.00868355617274309,130.9701660177603
105,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),31,2,0.3063012769964506,-0.27730890604075525,-0.010538117781716677,113.61874830399209
106,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),31,3,-0.19013646165482895,-0.5781323929682531,-0.02731315335629995,56.787490579736385
107,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),32,1,-0.21369511863611534,-1.2078981796844184,-0.13462044289073455,-18.693620541256507
108,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),32,2,-0.10008058992777416,-0.4111909464327928,-0.02709416826488382,76.00530873735934
109,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),33,1,0.05170922369902418,-0.7685074506374436,-0.10091685302593463,-22.175989003431177
110,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),33,2,-0.577735499395521,-0.5155088942575314,-0.06192378787802506,51.674582695663275
